trade_date,entry_time,exit_time,model_version,account,strategy_name,bot_name,ab_mode,symbol,instrument,direction,contracts,entry_price,exit_price,gross_pnl,net_pnl,ticks,win_loss,exit_reason,initial_stop_price,initial_stop_distance,export_timestamp
2026-04-30,2026-04-30 03:15:00,2026-04-30 03:25:00,OG,SimADX Gu5,AdxDiCrossBracketOG,OG_AdxDiCrossBracketOG,OG,NQ,NQ JUN26,LONG,1,27326.50,27305.50,-420.00,-420.00,-84.0,LOSS,STOP_HIT,27299.00,550.00,2026-05-05 19:29:57
2026-04-30,2026-04-30 11:05:00,2026-04-30 11:25:00,OG,SimADX Gu5,AdxDiCrossBracketOG,OG_AdxDiCrossBracketOG,OG,NQ,NQ JUN26,LONG,1,27359.25,27382.75,470.00,470.00,94.0,WIN,STOP_HIT,27300.25,1180.00,2026-05-05 19:29:57
2026-05-01,2026-05-01 03:20:00,2026-05-01 03:30:00,OG,SimADX Gu5,AdxDiCrossBracketOG,OG_AdxDiCrossBracketOG,OG,NQ,NQ JUN26,LONG,1,27617.75,27608.25,-190.00,-190.00,-38.0,LOSS,STOP_HIT,27608.00,195.00,2026-05-05 19:29:57
2026-05-01,2026-05-01 11:10:00,2026-05-01 11:15:00,OG,SimADX Gu5,AdxDiCrossBracketOG,OG_AdxDiCrossBracketOG,OG,NQ,NQ JUN26,SHORT,1,27795.75,27835.50,-795.00,-795.00,-159.0,LOSS,STOP_HIT,27835.50,795.00,2026-05-05 19:29:57
2026-05-01,2026-05-01 11:20:00,2026-05-01 11:40:00,OG,SimADX Gu5,AdxDiCrossBracketOG,OG_AdxDiCrossBracketOG,OG,NQ,NQ JUN26,LONG,1,27836.75,27877.00,805.00,805.00,161.0,WIN,TARGET_HIT,27797.00,795.00,2026-05-05 19:29:57
2026-05-04,2026-05-04 03:25:00,2026-05-04 03:35:00,OG,SimADX Gu5,AdxDiCrossBracketOG,OG_AdxDiCrossBracketOG,OG,NQ,NQ JUN26,LONG,1,27940.25,27929.75,-210.00,-210.00,-42.0,LOSS,STOP_HIT,27926.50,275.00,2026-05-05 19:29:57
2026-05-04,2026-05-04 14:05:00,2026-05-04 14:15:00,OG,SimADX Gu5,AdxDiCrossBracketOG,OG_AdxDiCrossBracketOG,OG,NQ,NQ JUN26,LONG,1,27792.25,27791.00,-25.00,-25.00,-5.0,LOSS,STOP_HIT,27759.25,660.00,2026-05-05 19:29:57
2026-05-04,2026-05-04 14:25:00,2026-05-04 14:30:00,OG,SimADX Gu5,AdxDiCrossBracketOG,OG_AdxDiCrossBracketOG,OG,NQ,NQ JUN26,SHORT,1,27774.25,27763.75,210.00,210.00,42.0,WIN,STOP_HIT,27805.00,615.00,2026-05-05 19:29:57
2026-05-04,2026-05-04 03:25:00,2026-05-04 03:35:00,OG,SimADX1,AdxDiCrossBracketOG,OG_AdxDiCrossBracketOG,OG,NQ,NQ JUN26,LONG,1,27940.25,27929.75,-210.00,-210.00,-42.0,LOSS,STOP_HIT,27926.50,275.00,2026-05-07 07:27:48
2026-05-04,2026-05-04 14:05:00,2026-05-04 14:15:00,OG,SimADX1,AdxDiCrossBracketOG,OG_AdxDiCrossBracketOG,OG,NQ,NQ JUN26,LONG,1,27792.25,27791.00,-25.00,-25.00,-5.0,LOSS,STOP_HIT,27759.25,660.00,2026-05-07 07:27:48
2026-05-04,2026-05-04 14:25:00,2026-05-04 14:30:00,OG,SimADX1,AdxDiCrossBracketOG,OG_AdxDiCrossBracketOG,OG,NQ,NQ JUN26,SHORT,1,27774.25,27763.75,210.00,210.00,42.0,WIN,STOP_HIT,27805.00,615.00,2026-05-07 07:27:48
2026-05-06,2026-05-06 09:55:00,2026-05-06 09:55:00,OG,SimADX1,AdxDiCrossBracketOG,OG_AdxDiCrossBracketOG,OG,NQ,NQ JUN26,LONG,1,28468.75,28425.25,-870.00,-870.00,-174.0,LOSS,STOP_HIT,28425.25,870.00,2026-05-07 07:27:48
2026-05-06,2026-05-06 10:00:00,2026-05-06 10:05:00,OG,SimADX1,AdxDiCrossBracketOG,OG_AdxDiCrossBracketOG,OG,NQ,NQ JUN26,SHORT,1,28495.25,28449.00,925.00,925.00,185.0,WIN,TARGET_HIT,28541.50,925.00,2026-05-07 07:27:48
2026-05-06,2026-05-06 10:55:00,2026-05-06 11:15:00,OG,SimADX1,AdxDiCrossBracketOG,OG_AdxDiCrossBracketOG,OG,NQ,NQ JUN26,LONG,1,28536.50,28536.25,-5.00,-5.00,-1.0,LOSS,STOP_HIT,28488.75,955.00,2026-05-07 07:27:48
2026-05-07,2026-05-07 04:35:00,2026-05-07 04:55:00,OG,SimADX1,AdxDiCrossBracketOG,OG_AdxDiCrossBracketOG,OG,NQ,NQ JUN26,SHORT,1,28747.25,28747.25,0.00,0.00,0.0,SCRATCH,STOP_HIT,28769.25,440.00,2026-05-07 07:27:48
2026-05-04,2026-05-04 03:25:00,2026-05-04 03:35:00,OG,SimADX1,AdxDiCrossBracketOG 5m Trinity false,OG_AdxDiCrossBracketOG,OG,NQ,NQ JUN26,LONG,1,27940.25,27929.75,-210.00,-210.00,-42.0,LOSS,STOP_HIT,27926.50,275.00,2026-05-07 08:40:05
2026-05-04,2026-05-04 14:05:00,2026-05-04 14:15:00,OG,SimADX1,AdxDiCrossBracketOG 5m Trinity false,OG_AdxDiCrossBracketOG,OG,NQ,NQ JUN26,LONG,1,27792.25,27791.00,-25.00,-25.00,-5.0,LOSS,STOP_HIT,27759.25,660.00,2026-05-07 08:40:05
2026-05-04,2026-05-04 14:25:00,2026-05-04 14:30:00,OG,SimADX1,AdxDiCrossBracketOG 5m Trinity false,OG_AdxDiCrossBracketOG,OG,NQ,NQ JUN26,SHORT,1,27774.25,27763.75,210.00,210.00,42.0,WIN,STOP_HIT,27805.00,615.00,2026-05-07 08:40:05
2026-05-06,2026-05-06 09:55:00,2026-05-06 09:55:00,OG,SimADX1,AdxDiCrossBracketOG 5m Trinity false,OG_AdxDiCrossBracketOG,OG,NQ,NQ JUN26,LONG,1,28468.75,28425.25,-870.00,-870.00,-174.0,LOSS,STOP_HIT,28425.25,870.00,2026-05-07 08:40:05
2026-05-06,2026-05-06 10:00:00,2026-05-06 10:05:00,OG,SimADX1,AdxDiCrossBracketOG 5m Trinity false,OG_AdxDiCrossBracketOG,OG,NQ,NQ JUN26,SHORT,1,28495.25,28449.00,925.00,925.00,185.0,WIN,TARGET_HIT,28541.50,925.00,2026-05-07 08:40:05
2026-05-06,2026-05-06 10:55:00,2026-05-06 11:15:00,OG,SimADX1,AdxDiCrossBracketOG 5m Trinity false,OG_AdxDiCrossBracketOG,OG,NQ,NQ JUN26,LONG,1,28536.50,28536.25,-5.00,-5.00,-1.0,LOSS,STOP_HIT,28488.75,955.00,2026-05-07 08:40:05
2026-05-07,2026-05-07 04:35:00,2026-05-07 04:55:00,OG,SimADX1,AdxDiCrossBracketOG 5m Trinity false,OG_AdxDiCrossBracketOG,OG,NQ,NQ JUN26,SHORT,1,28747.25,28747.25,0.00,0.00,0.0,SCRATCH,STOP_HIT,28769.25,440.00,2026-05-07 08:40:05
2026-05-04,2026-05-04 03:25:00,2026-05-04 03:35:00,OG,SimADX1,AdxDiCrossBracketOG 5m Trinity false,OG_AdxDiCrossBracketOG,OG,NQ,NQ JUN26,LONG,1,27940.25,27929.75,-210.00,-210.00,-42.0,LOSS,STOP_HIT,27926.50,275.00,2026-05-07 08:46:58
2026-05-04,2026-05-04 14:05:00,2026-05-04 14:15:00,OG,SimADX1,AdxDiCrossBracketOG 5m Trinity false,OG_AdxDiCrossBracketOG,OG,NQ,NQ JUN26,LONG,1,27792.25,27791.00,-25.00,-25.00,-5.0,LOSS,STOP_HIT,27759.25,660.00,2026-05-07 08:46:58
2026-05-04,2026-05-04 14:25:00,2026-05-04 14:30:00,OG,SimADX1,AdxDiCrossBracketOG 5m Trinity false,OG_AdxDiCrossBracketOG,OG,NQ,NQ JUN26,SHORT,1,27774.25,27763.75,210.00,210.00,42.0,WIN,STOP_HIT,27805.00,615.00,2026-05-07 08:46:58
2026-05-06,2026-05-06 09:55:00,2026-05-06 09:55:00,OG,SimADX1,AdxDiCrossBracketOG 5m Trinity false,OG_AdxDiCrossBracketOG,OG,NQ,NQ JUN26,LONG,1,28468.75,28425.25,-870.00,-870.00,-174.0,LOSS,STOP_HIT,28425.25,870.00,2026-05-07 08:46:58
2026-05-06,2026-05-06 10:00:00,2026-05-06 10:05:00,OG,SimADX1,AdxDiCrossBracketOG 5m Trinity false,OG_AdxDiCrossBracketOG,OG,NQ,NQ JUN26,SHORT,1,28495.25,28449.00,925.00,925.00,185.0,WIN,TARGET_HIT,28541.50,925.00,2026-05-07 08:46:58
2026-05-06,2026-05-06 10:55:00,2026-05-06 11:15:00,OG,SimADX1,AdxDiCrossBracketOG 5m Trinity false,OG_AdxDiCrossBracketOG,OG,NQ,NQ JUN26,LONG,1,28536.50,28536.25,-5.00,-5.00,-1.0,LOSS,STOP_HIT,28488.75,955.00,2026-05-07 08:46:58
2026-05-07,2026-05-07 04:35:00,2026-05-07 04:55:00,OG,SimADX1,AdxDiCrossBracketOG 5m Trinity false,OG_AdxDiCrossBracketOG,OG,NQ,NQ JUN26,SHORT,1,28747.25,28747.25,0.00,0.00,0.0,SCRATCH,STOP_HIT,28769.25,440.00,2026-05-07 08:46:58
2026-01-02,2026-01-02 14:20:00,2026-01-02 14:35:00,OG,Backtest,AdxDiCrossBracketOG,OG_AdxDiCrossBracketOG,OG,NQ,NQ JUN26,LONG,1,25595.75,25633.00,740.64,736.28,147.3,WIN,TARGET_HIT,25557.00,775.00,2026-05-07 09:17:07
2026-01-05,2026-01-05 12:30:00,2026-01-05 13:10:00,OG,Backtest,AdxDiCrossBracketOG,OG_AdxDiCrossBracketOG,OG,NQ,NQ JUN26,SHORT,1,25838.50,25812.50,515.64,511.28,102.3,WIN,TARGET_HIT,25868.00,590.00,2026-05-07 09:17:07
2026-01-06,2026-01-06 11:00:00,2026-01-06 11:05:00,OG,Backtest,AdxDiCrossBracketOG,OG_AdxDiCrossBracketOG,OG,NQ,NQ JUN26,SHORT,1,25908.50,25880.75,550.64,546.28,109.3,WIN,TARGET_HIT,25938.25,595.00,2026-05-07 09:17:07
2026-01-07,2026-01-07 09:50:00,2026-01-07 09:50:00,OG,Backtest,AdxDiCrossBracketOG,OG_AdxDiCrossBracketOG,OG,NQ,NQ JUN26,LONG,1,26064.50,26079.75,300.64,296.28,59.3,WIN,TARGET_HIT,26047.25,345.00,2026-05-07 09:17:07
2026-01-09,2026-01-09 09:45:00,2026-01-09 09:50:00,OG,Backtest,AdxDiCrossBracketOG,OG_AdxDiCrossBracketOG,OG,NQ,NQ JUN26,LONG,1,25965.75,25936.75,-584.36,-588.72,-117.7,LOSS,STOP_HIT,25938.00,555.00,2026-05-07 09:17:07
