trade_date,entry_time,exit_time,model_version,account,strategy_name,bot_name,ab_mode,symbol,instrument,direction,contracts,entry_price,exit_price,gross_pnl,net_pnl,ticks,win_loss,exit_reason,initial_stop_price,initial_stop_distance,export_timestamp
2026-05-01,2026-05-01 11:25:00,2026-05-01 11:45:00,OG,SimMomo2,NQ Momo 5m NQ OG,OG_MomentumSlope_v1_2,OG,NQ,NQ JUN26,LONG,1,27832.00,27875.50,870.00,870.00,174.0,WIN,SLOPE_EXIT,27775.50,1130.00,2026-05-04 09:21:19
2026-05-01,2026-05-01 09:52:00,2026-05-01 09:56:00,OG,SimMomo1,NQ Momo OG 1m HA,OG_MomentumSlope_v1_2,OG,NQ,NQ JUN26,LONG,1,27783.25,27791.00,150.64,146.28,29.3,WIN,SLOPE_EXIT,27757.50,515.00,2026-05-04 09:21:20
2026-05-01,2026-05-01 10:32:00,2026-05-01 10:32:00,OG,SimMomo1,NQ Momo OG 1m HA,OG_MomentumSlope_v1_2,OG,NQ,NQ JUN26,SHORT,1,27867.25,27843.50,470.64,466.28,93.3,WIN,TARGET_HIT,27878.00,215.00,2026-05-04 09:21:20
2026-05-01,2026-05-01 11:14:00,2026-05-01 11:15:00,OG,SimMomo1,NQ Momo OG 1m HA,OG_MomentumSlope_v1_2,OG,NQ,NQ JUN26,LONG,1,27810.00,27835.50,505.64,501.28,100.3,WIN,TARGET_HIT,27797.50,250.00,2026-05-04 09:21:20
2026-05-01,2026-05-01 11:52:00,2026-05-01 11:52:00,OG,SimMomo1,NQ Momo OG 1m HA,OG_MomentumSlope_v1_2,OG,NQ,NQ JUN26,SHORT,1,27895.50,27872.00,465.64,461.28,92.3,WIN,TARGET_HIT,27903.00,150.00,2026-05-04 09:21:20
2026-05-01,2026-05-01 12:01:00,2026-05-01 12:05:00,OG,SimMomo1,NQ Momo OG 1m HA,OG_MomentumSlope_v1_2,OG,NQ,NQ JUN26,LONG,1,27890.50,27892.50,35.64,31.28,6.3,WIN,SLOPE_EXIT,27872.50,360.00,2026-05-04 09:21:20
2026-05-01,2026-05-01 12:06:00,2026-05-01 12:06:00,OG,SimMomo1,NQ Momo OG 1m HA,OG_MomentumSlope_v1_2,OG,NQ,NQ JUN26,SHORT,1,27889.50,27876.00,265.64,261.28,52.3,WIN,TARGET_HIT,27902.75,265.00,2026-05-04 09:21:20
2026-05-01,2026-05-01 12:57:00,2026-05-01 13:00:00,OG,SimMomo1,NQ Momo OG 1m HA,OG_MomentumSlope_v1_2,OG,NQ,NQ JUN26,LONG,1,27839.00,27830.25,-179.36,-183.72,-36.7,LOSS,STOP_HIT,27830.25,175.00,2026-05-04 09:21:20
2026-05-01,2026-05-01 13:01:00,2026-05-01 13:01:00,OG,SimMomo1,NQ Momo OG 1m HA,OG_MomentumSlope_v1_2,OG,NQ,NQ JUN26,SHORT,1,27843.25,27829.00,280.64,276.28,55.3,WIN,TARGET_HIT,27856.25,260.00,2026-05-04 09:21:20
2026-05-01,2026-05-01 13:03:00,2026-05-01 13:06:00,OG,SimMomo1,NQ Momo OG 1m HA,OG_MomentumSlope_v1_2,OG,NQ,NQ JUN26,LONG,1,27842.75,27842.50,-9.36,-13.72,-2.7,LOSS,SLOPE_EXIT,27828.25,290.00,2026-05-04 09:21:20
2026-05-01,2026-05-01 13:08:00,2026-05-01 13:12:00,OG,SimMomo1,NQ Momo OG 1m HA,OG_MomentumSlope_v1_2,OG,NQ,NQ JUN26,LONG,1,27846.00,27845.00,-24.36,-28.72,-5.7,LOSS,SLOPE_EXIT,27833.75,245.00,2026-05-04 09:21:20
2026-05-01,2026-05-01 14:04:00,2026-05-01 14:04:00,OG,SimMomo1,NQ Momo OG 1m HA,OG_MomentumSlope_v1_2,OG,NQ,NQ JUN26,SHORT,1,27882.25,27871.00,220.64,216.28,43.3,WIN,TARGET_HIT,27891.50,185.00,2026-05-04 09:21:20
2026-05-01,2026-05-01 14:26:00,2026-05-01 14:30:00,OG,SimMomo1,NQ Momo OG 1m HA,OG_MomentumSlope_v1_2,OG,NQ,NQ JUN26,LONG,1,27862.00,27860.75,-29.36,-33.72,-6.7,LOSS,SLOPE_EXIT,27853.25,175.00,2026-05-04 09:21:20
2026-05-01,2026-05-01 14:31:00,2026-05-01 14:31:00,OG,SimMomo1,NQ Momo OG 1m HA,OG_MomentumSlope_v1_2,OG,NQ,NQ JUN26,SHORT,1,27862.00,27855.50,125.64,121.28,24.3,WIN,TARGET_HIT,27876.00,280.00,2026-05-04 09:21:20
2026-05-01,2026-05-01 15:03:00,2026-05-01 15:03:00,OG,SimMomo1,NQ Momo OG 1m HA,OG_MomentumSlope_v1_2,OG,NQ,NQ JUN26,LONG,1,27824.25,27836.50,240.64,236.28,47.3,WIN,TARGET_HIT,27815.50,175.00,2026-05-04 09:21:20
2026-05-01,2026-05-01 15:37:00,2026-05-01 15:37:00,OG,SimMomo1,NQ Momo OG 1m HA,OG_MomentumSlope_v1_2,OG,NQ,NQ JUN26,SHORT,1,27880.50,27870.00,205.64,201.28,40.3,WIN,TARGET_HIT,27890.50,200.00,2026-05-04 09:21:20
2026-05-01,2026-05-01 15:41:00,2026-05-01 15:43:00,OG,SimMomo1,NQ Momo OG 1m HA,OG_MomentumSlope_v1_2,OG,NQ,NQ JUN26,LONG,1,27876.25,27865.25,-224.36,-228.72,-45.7,LOSS,STOP_HIT,27865.50,215.00,2026-05-04 09:21:20
2026-05-01,2026-05-01 15:44:00,2026-05-01 15:48:00,OG,SimMomo1,NQ Momo OG 1m HA,OG_MomentumSlope_v1_2,OG,NQ,NQ JUN26,SHORT,1,27872.50,27861.00,225.64,221.28,44.3,WIN,TARGET_HIT,27881.50,180.00,2026-05-04 09:21:20
2026-04-09,2026-04-09 10:15:00,2026-04-09 10:30:00,OG,SimADX1,NQ Momo 5m NQ OG,OG_MomentumSlope_v1_2,OG,NQ,NQ JUN26,LONG,1,25016.25,24971.75,-890.00,-890.00,-178.0,LOSS,STOP_HIT,24972.25,880.00,2026-05-04 09:21:25
