trade_date,entry_time,exit_time,model_version,account,strategy_name,bot_name,ab_mode,symbol,instrument,direction,contracts,entry_price,exit_price,gross_pnl,net_pnl,ticks,win_loss,exit_reason,initial_stop_price,initial_stop_distance,export_timestamp
2026-05-01,2026-05-01 10:35:39,2026-05-01 10:35:57,V1B,SimV1A - Kalman Fader 2,KalmanPulse Fader Mode A+,KalmanPulse_Fader_B,B,NQ,NQ JUN26,SHORT,2,27815.25,27806.75,260.00,260.00,52.0,WIN,TARGET_HIT,27821.50,250.00,2026-05-04 09:21:11
2026-05-01,2026-05-01 10:38:11,2026-05-01 10:38:23,V1B,SimV1A - Kalman Fader 2,KalmanPulse Fader Mode A+,KalmanPulse_Fader_B,B,NQ,NQ JUN26,SHORT,2,27765.75,27768.50,-110.00,-110.00,-22.0,LOSS,ENVELOPE_BREAK_EXIT,27772.00,250.00,2026-05-04 09:21:11
2026-05-01,2026-05-01 10:41:00,2026-05-01 10:41:19,V1B,SimV1A - Kalman Fader 2,KalmanPulse Fader Mode A+,KalmanPulse_Fader_B,B,NQ,NQ JUN26,SHORT,2,27796.50,27790.25,175.00,175.00,35.0,WIN,TARGET_HIT,27802.75,250.00,2026-05-04 09:21:11
2026-05-01,2026-05-01 10:42:01,2026-05-01 10:42:05,V1B,SimV1A - Kalman Fader 2,KalmanPulse Fader Mode A+,KalmanPulse_Fader_B,B,NQ,NQ JUN26,LONG,2,27786.25,27782.75,-140.00,-140.00,-28.0,LOSS,ENVELOPE_BREAK_EXIT,27780.00,250.00,2026-05-04 09:21:11
2026-05-01,2026-05-01 10:45:56,2026-05-01 10:46:00,V1B,SimV1A - Kalman Fader 2,KalmanPulse Fader Mode A+,KalmanPulse_Fader_B,B,NQ,NQ JUN26,SHORT,2,27820.75,27823.50,-110.00,-110.00,-22.0,LOSS,ENVELOPE_BREAK_EXIT,27827.00,250.00,2026-05-04 09:21:11
2026-05-04,2026-05-04 10:35:01,2026-05-04 10:35:01,V1B,SimV1A Kalman Fader 3,KalmanPulse_Fader_V1B,KalmanPulse_Fader_B,B,NQ,NQ JUN26,LONG,2,27889.50,27889.00,-15.00,-15.00,-3.0,LOSS,ENVELOPE_BREAK_EXIT,27887.50,80.00,2026-05-04 10:35:01
2026-05-04,2026-05-04 10:35:01,2026-05-04 10:35:01,V1B,SimV1A - Kalman Fader 2,KalmanPulse Fader Mode A+,KalmanPulse_Fader_B,B,NQ,NQ JUN26,LONG,2,27889.50,27888.50,-35.00,-35.00,-7.0,LOSS,ENVELOPE_BREAK_EXIT,27887.50,80.00,2026-05-04 10:35:01
2026-05-04,2026-05-04 10:36:36,2026-05-04 10:36:38,V1B,SimV1A - Kalman Fader 2,KalmanPulse Fader Mode A+,KalmanPulse_Fader_B,B,NQ,NQ JUN26,LONG,2,27885.25,27882.50,-110.00,-110.00,-22.0,LOSS,ENVELOPE_BREAK_EXIT,27879.00,250.00,2026-05-05 07:42:22
2026-05-04,2026-05-04 10:46:41,2026-05-04 10:47:45,V1B,SimV1A - Kalman Fader 2,KalmanPulse Fader Mode A+,KalmanPulse_Fader_B,B,NQ,NQ JUN26,LONG,2,27927.25,27937.25,295.00,295.00,59.0,WIN,TARGET_HIT,27921.00,250.00,2026-05-05 07:42:22
2026-05-04,2026-05-04 10:48:09,2026-05-04 10:48:11,V1B,SimV1A - Kalman Fader 2,KalmanPulse Fader Mode A+,KalmanPulse_Fader_B,B,NQ,NQ JUN26,SHORT,2,27937.50,27939.25,-70.00,-70.00,-14.0,LOSS,ENVELOPE_BREAK_EXIT,27943.75,250.00,2026-05-05 07:42:22
2026-05-04,2026-05-04 10:53:07,2026-05-04 10:53:40,V1B,SimV1A - Kalman Fader 2,KalmanPulse Fader Mode A+,KalmanPulse_Fader_B,B,NQ,NQ JUN26,SHORT,2,27937.50,27929.75,230.00,230.00,46.0,WIN,TARGET_HIT,27943.75,250.00,2026-05-05 07:42:22
2026-05-04,2026-05-04 10:58:01,2026-05-04 10:58:03,V1B,SimV1A - Kalman Fader 2,KalmanPulse Fader Mode A+,KalmanPulse_Fader_B,B,NQ,NQ JUN26,LONG,2,27893.00,27888.50,-180.00,-180.00,-36.0,LOSS,ENVELOPE_BREAK_EXIT,27886.75,250.00,2026-05-05 07:42:22
2026-05-04,2026-05-04 10:58:23,2026-05-04 10:58:26,V1B,SimV1A - Kalman Fader 2,KalmanPulse Fader Mode A+,KalmanPulse_Fader_B,B,NQ,NQ JUN26,SHORT,2,27899.50,27901.25,-70.00,-70.00,-14.0,LOSS,ENVELOPE_BREAK_EXIT,27906.00,260.00,2026-05-05 07:42:22
